Zensus 9. Mai 2011;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Wohnungen nach Baujahr (Mikrozensus-Klassen), Fläche der Wohnung (10 m²-Intervalle) und Zahl der Wohnungen im Gebäude für Flensburg, Stadt (Kreisfreie Stadt), Kiel, Landeshauptstadt (Kreisfreie Stadt) und weitere Orte ;;;;;;;;;;;;;;;;;
Auszählungsergebnis aus der Gebäude- und Wohnungszählung;;;;;;;;;;;;;;;;;
;;;010010000000 Flensburg, Stadt (Kreisfreie Stadt);010020000000 Kiel, Landeshauptstadt (Kreisfreie Stadt);010030000000 Lübeck, Hansestadt (Kreisfreie Stadt);010040000000 Neumünster, Stadt (Kreisfreie Stadt);01051 Dithmarschen (Kreis);01053 Herzogtum Lauenburg (Kreis);01054 Nordfriesland (Kreis);01055 Ostholstein (Kreis);01056 Pinneberg (Kreis);01057 Plön (Kreis);01058 Rendsburg-Eckernförde (Kreis);01059 Schleswig-Flensburg (Kreis);01060 Segeberg (Kreis);01061 Steinburg (Kreis);01062 Stormarn (Kreis)
1987 - 1990;130 - 139;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1987 - 1990;140 - 149;1 Wohnung;34;40;32;(13);94;111;158;(94);213;(57);(235);(162);(206);(69);(185)
1987 - 1990;140 - 149;2 Wohnungen;-;-;6;4;9;4;6;9;12;-;12;18;15;4;(22)
1987 - 1990;140 - 149;3 - 6 Wohnungen;-;-;-;-;-;-;6;13;6;9;13;-;3;-;3
1987 - 1990;140 - 149;7 - 12 Wohnungen;3;-;3;-;-;-;-;-;-;4;-;-;-;-;-
1987 - 1990;140 - 149;13 und mehr Wohnungen;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-
1987 - 1990;150 - 159;1 Wohnung;18;(37);28;23;99;(77);70;72;(142);(40);133;147;(135);(64);132
1987 - 1990;150 - 159;2 Wohnungen;3;-;3;-;10;8;10;19;(17);-;(9);(6);7;6;(4)
1987 - 1990;150 - 159;3 - 6 Wohnungen;-;3;-;-;3;4;9;9;-;3;3;6;6;-;-
1987 - 1990;150 - 159;7 - 12 Wohnungen;-;-;4;-;-;3;-;-;-;-;-;-;-;-;4
1987 - 1990;150 - 159;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1987 - 1990;160 - 169;1 Wohnung;-;32;12;3;(63);(63);55;37;(61);53;(78);(83);86;37;96
1987 - 1990;160 - 169;2 Wohnungen;4;-;-;6;-;-;3;-;6;6;9;3;10;-;3
1987 - 1990;160 - 169;3 - 6 Wohnungen;-;-;3;-;-;-;-;3;-;-;-;-;3;-;3
1987 - 1990;160 - 169;7 - 12 Wohnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1987 - 1990;160 - 169;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1987 - 1990;170 - 179;1 Wohnung;10;3;3;6;18;27;23;25;45;15;63;35;32;21;(49)
1987 - 1990;170 - 179;2 Wohnungen;-;-;-;-;-;7;3;-;4;3;-;3;-;3;3
1987 - 1990;170 - 179;3 - 6 Wohnungen;-;-;3;-;-;6;-;-;-;-;6;-;-;-;-
1987 - 1990;170 - 179;7 - 12 Wohnungen;-;-;-;-;-;-;-;3;-;-;3;-;-;-;-
1987 - 1990;170 - 179;13 und mehr Wohnungen;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-
1987 - 1990;180 und mehr;1 Wohnung;22;(13);33;30;92;138;(119);129;(186);(112);203;(151);180;75;162
1987 - 1990;180 und mehr;2 Wohnungen;7;4;11;-;9;(6);17;3;(13);4;(38);25;12;16;19
1987 - 1990;180 und mehr;3 - 6 Wohnungen;-;3;-;-;3;6;3;10;3;6;9;(18);9;-;12
1987 - 1990;180 und mehr;7 - 12 Wohnungen;4;3;-;-;-;-;-;-;10;-;-;-;-;-;-
1987 - 1990;180 und mehr;13 und mehr Wohnungen;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-
1991 - 1995;Unter 30;1 Wohnung;-;-;3;-;-;3;-;-;3;-;6;-;-;-;-
1991 - 1995;Unter 30;2 Wohnungen;4;-;3;3;3;-;3;3;-;-;4;3;(24);3;4
1991 - 1995;Unter 30;3 - 6 Wohnungen;230;12;6;-;(6);7;(33);(28);3;6;15;-;12;-;-
1991 - 1995;Unter 30;7 - 12 Wohnungen;68;(21);-;-;3;27;16;-;12;-;9;-;34;6;3
1991 - 1995;Unter 30;13 und mehr Wohnungen;27;126;317;8;6;-;6;7;(28);3;192;-;-;-;(27)
1991 - 1995;30 - 39;1 Wohnung;-;3;6;3;4;6;3;3;11;-;3;4;3;-;7
1991 - 1995;30 - 39;2 Wohnungen;-;-;-;-;9;7;32;3;6;3;19;4;14;6;7
1991 - 1995;30 - 39;3 - 6 Wohnungen;12;14;8;7;11;18;70;42;29;16;28;23;36;23;(22)
1991 - 1995;30 - 39;7 - 12 Wohnungen;9;29;49;13;15;23;24;(43);75;35;(44);3;57;36;37
1991 - 1995;30 - 39;13 und mehr Wohnungen;10;55;176;20;41;-;3;(49);203;(28);(82);-;21;12;59
1991 - 1995;40 - 49;1 Wohnung;-;-;13;3;16;6;27;(10);9;-;26;21;28;12;9
1991 - 1995;40 - 49;2 Wohnungen;-;10;10;9;24;15;46;(53);22;9;32;(31);15;16;(15)
1991 - 1995;40 - 49;3 - 6 Wohnungen;27;17;(34);6;59;80;131;(97);97;(94);(115);(87);149;(33);(79)
1991 - 1995;40 - 49;7 - 12 Wohnungen;(51);176;171;(75);(37);162;72;154;284;157;(81);(52);(315);65;145
1991 - 1995;40 - 49;13 und mehr Wohnungen;63;349;205;55;(20);34;31;101;99;71;239;37;199;25;110
1991 - 1995;50 - 59;1 Wohnung;-;7;10;3;24;37;201;22;9;10;81;106;37;20;32
1991 - 1995;50 - 59;2 Wohnungen;6;6;157;-;35;79;(63);60;30;37;63;(43);(38);18;(57)
1991 - 1995;50 - 59;3 - 6 Wohnungen;39;53;(96);79;(111);184;266;(169);222;(92);191;118;297;(107);(173)
1991 - 1995;50 - 59;7 - 12 Wohnungen;(87);383;422;(183);(95);141;(104);315;389;(152);(140);(67);579;106;297
1991 - 1995;50 - 59;13 und mehr Wohnungen;44;(217);349;87;67;74;38;(164);298;52;279;52;193;78;(231)
1991 - 1995;60 - 69;1 Wohnung;30;16;25;6;(40);37;82;71;16;45;74;53;41;(35);22
1991 - 1995;60 - 69;2 Wohnungen;(13);(3);10;25;(40);(62);(104);(65);80;45;(68);(45);74;39;(70)
1991 - 1995;60 - 69;3 - 6 Wohnungen;89;(65);137;(95);(151);212;(247);(209);323;169;269;161;402;135;(197)
1991 - 1995;60 - 69;7 - 12 Wohnungen;63;250;245;198;65;(118);(116);205;355;(109);104;(89);542;53;256
1991 - 1995;60 - 69;13 und mehr Wohnungen;18;98;119;23;33;31;27;(56);(132);41;76;33;100;25;151
1991 - 1995;70 - 79;1 Wohnung;7;43;30;(38);(38);57;77;73;41;(66);112;95;48;19;33
1991 - 1995;70 - 79;2 Wohnungen;10;14;19;17;67;(60);119;(76);149;(52);(137);85;(116);53;(100)
1991 - 1995;70 - 79;3 - 6 Wohnungen;59;76;234;(157);158;(178);174;165;335;107;313;185;390;141;223
1991 - 1995;70 - 79;7 - 12 Wohnungen;117;295;371;209;72;(251);(116);(141);381;88;145;122;650;(60);(290)
1991 - 1995;70 - 79;13 und mehr Wohnungen;(9);(148);120;(27);(15);34;6;(85);129;(15);69;27;84;27;169
1991 - 1995;80 - 89;1 Wohnung;13;(69);(48);32;93;133;129;105;83;50;(153);160;(153);(29);75
1991 - 1995;80 - 89;2 Wohnungen;4;12;16;(18);(53);92;90;86;(158);53;(122);(87);(106);(82);100
1991 - 1995;80 - 89;3 - 6 Wohnungen;19;33;(49);(47);77;137;85;(126);(168);(73);(174);(113);(288);(86);(175)
1991 - 1995;80 - 89;7 - 12 Wohnungen;68;(132);(90);(80);28;60;39;46;306;25;46;43;251;28;233
1991 - 1995;80 - 89;13 und mehr Wohnungen;7;(55);36;22;(3);21;15;(35);76;7;6;17;45;15;125
1991 - 1995;90 - 99;1 Wohnung;(36);(88);(126);(87);119;294;(178);218;492;(161);(286);(226);350;(81);252
1991 - 1995;90 - 99;2 Wohnungen;-;12;19;11;(60);(89);103;(81);(174);49;(138);(66);84;61;(80)
1991 - 1995;90 - 99;3 - 6 Wohnungen;(9);16;15;28;(32);100;(78);53;130;(60);(114);(79);111;27;(118)
1991 - 1995;90 - 99;7 - 12 Wohnungen;10;59;32;25;18;22;9;31;194;(15);(9);22;83;15;123
1991 - 1995;90 - 99;13 und mehr Wohnungen;12;55;28;6;3;9;7;17;43;-;19;10;17;-;(20)
1991 - 1995;100 - 109;1 Wohnung;29;160;170;(119);233;581;298;309;746;297;471;388;773;247;545
1991 - 1995;100 - 109;2 Wohnungen;4;6;(6);(27);71;82;(111);74;105;50;(123);103;(113);67;100
1991 - 1995;100 - 109;3 - 6 Wohnungen;6;25;13;10;18;(57);46;28;111;(24);55;(27);(95);(26);(106)
1991 - 1995;100 - 109;7 - 12 Wohnungen;12;16;13;(15);-;10;-;3;67;17;15;3;53;3;(49)
1991 - 1995;100 - 109;13 und mehr Wohnungen;-;3;34;3;3;6;-;(13);9;3;10;-;10;13;(48)
1991 - 1995;110 - 119;1 Wohnung;(32);(109);130;(85);229;351;254;313;602;(257);500;343;657;200;538
1991 - 1995;110 - 119;2 Wohnungen;3;10;9;-;41;(37);41;(55);(66);26;(83);63;(63);32;(51)
1991 - 1995;110 - 119;3 - 6 Wohnungen;15;10;-;3;23;(10);25;19;(53);15;33;19;38;6;37
1991 - 1995;110 - 119;7 - 12 Wohnungen;-;3;3;-;-;3;-;7;45;6;-;4;(32);-;30
1991 - 1995;110 - 119;13 und mehr Wohnungen;-;6;-;-;-;3;-;-;-;-;3;-;-;3;51
1991 - 1995;120 - 129;1 Wohnung;78;(207);(181);102;319;510;360;458;716;308;740;535;800;346;643
1991 - 1995;120 - 129;2 Wohnungen;4;13;4;9;(50);(50);(61);46;69;(47);91;(47);(93);31;(56)
1991 - 1995;120 - 129;3 - 6 Wohnungen;3;6;7;-;9;(31);19;(19);31;13;24;41;41;6;46
1991 - 1995;120 - 129;7 - 12 Wohnungen;7;-;3;3;3;9;-;7;13;-;-;9;9;-;21
1991 - 1995;120 - 129;13 und mehr Wohnungen;-;34;-;3;-;-;-;3;3;-;-;-;10;-;7
1991 - 1995;130 - 139;1 Wohnung;(83);78;76;(38);172;230;221;193;351;(144);374;321;384;181;311
1991 - 1995;130 - 139;2 Wohnungen;3;4;6;-;16;19;27;25;16;28;28;16;22;6;(28)
1991 - 1995;130 - 139;3 - 6 Wohnungen;3;3;-;-;6;16;12;12;15;11;16;13;9;15;18
1991 - 1995;130 - 139;7 - 12 Wohnungen;-;-;-;-;-;4;3;-;18;-;-;3;4;-;-
1991 - 1995;130 - 139;13 und mehr Wohnungen;-;3;-;-;-;3;-;7;3;-;-;-;3;16;6
1991 - 1995;140 - 149;1 Wohnung;40;(28);(52);(42);(191);(201);237;(142);270;(138);381;(244);311;170;248
1991 - 1995;140 - 149;2 Wohnungen;-;4;6;-;9;6;23;19;19;(38);35;34;24;(7);(22)
1991 - 1995;140 - 149;3 - 6 Wohnungen;-;4;-;-;10;9;11;9;9;4;12;(19);12;-;6
1991 - 1995;140 - 149;7 - 12 Wohnungen;-;-;-;-;-;-;-;3;3;-;6;-;3;9;9
1991 - 1995;140 - 149;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;3;3;-;-;-;-;-
1991 - 1995;150 - 159;1 Wohnung;(19);23;28;41;(134);(155);(163);123;193;(99);234;235;(214);158;193
1991 - 1995;150 - 159;2 Wohnungen;6;3;-;4;12;10;9;18;25;13;22;25;11;9;24
1991 - 1995;150 - 159;3 - 6 Wohnungen;3;-;3;-;-;10;3;13;13;6;6;4;12;-;17
1991 - 1995;150 - 159;7 - 12 Wohnungen;-;-;-;-;-;3;3;-;3;-;3;-;3;-;6
1991 - 1995;150 - 159;13 und mehr Wohnungen;-;4;-;-;-;-;-;3;-;-;-;-;-;-;-
1991 - 1995;160 - 169;1 Wohnung;22;26;32;(33);(103);132;(118);101;170;(33);(217);175;(133);106;155
1991 - 1995;160 - 169;2 Wohnungen;-;-;-;3;17;(23);6;14;10;-;(6);22;17;4;(3)
1991 - 1995;160 - 169;3 - 6 Wohnungen;-;-;3;-;-;6;3;-;-;3;6;10;-;-;9
1991 - 1995;160 - 169;7 - 12 Wohnungen;3;-;3;-;-;-;-;3;-;-;-;-;16;-;-
1991 - 1995;160 - 169;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
1991 - 1995;170 - 179;1 Wohnung;6;4;12;(10);(56);(57);74;40;(50);(50);(86);102;95;(50);65
1991 - 1995;170 - 179;2 Wohnungen;-;-;3;-;-;9;3;4;3;7;3;-;12;9;6
1991 - 1995;170 - 179;3 - 6 Wohnungen;-;-;-;3;-;-;-;6;7;3;6;10;9;-;3
1991 - 1995;170 - 179;7 - 12 Wohnungen;-;-;-;-;-;-;-;-;6;-;3;3;-;-;-
1991 - 1995;170 - 179;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-
1991 - 1995;180 und mehr;1 Wohnung;55;30;49;(44);254;(227);241;(251);282;153;436;335;282;176;269
1991 - 1995;180 und mehr;2 Wohnungen;3;-;10;3;21;(30);(25);(42);18;(3);(72);33;32;6;33
1991 - 1995;180 und mehr;3 - 6 Wohnungen;6;6;-;-;6;10;(37);(3);12;13;16;(6);17;8;19
1991 - 1995;180 und mehr;7 - 12 Wohnungen;-;3;-;-;-;3;-;-;9;-;10;-;-;3;3
1991 - 1995;180 und mehr;13 und mehr Wohnungen;-;-;-;-;-;-;-;9;-;-;3;-;-;-;3
1996 - 2000;Unter 30;1 Wohnung;-;-;-;-;-;-;3;-;-;-;-;-;3;-;4
1996 - 2000;Unter 30;2 Wohnungen;-;3;-;-;6;-;(21);-;-;-;3;3;-;-;8
1996 - 2000;Unter 30;3 - 6 Wohnungen;-;-;4;3;6;-;(25);6;21;-;-;-;(13);6;6
1996 - 2000;Unter 30;7 - 12 Wohnungen;-;20;3;3;-;6;-;(3);-;4;35;(15);7;3;-
1996 - 2000;Unter 30;13 und mehr Wohnungen;13;171;3;17;37;42;-;6;4;10;-;-;3;24;-
1996 - 2000;30 - 39;1 Wohnung;-;-;7;-;6;-;4;-;4;-;-;3;-;-;3
1996 - 2000;30 - 39;2 Wohnungen;6;-;-;-;13;7;(25);(19);9;3;6;12;15;7;7
1996 - 2000;30 - 39;3 - 6 Wohnungen;3;-;15;3;18;(30);(50);(53);(44);(34);21;13;36;19;15
1996 - 2000;30 - 39;7 - 12 Wohnungen;24;54;39;-;21;(9);26;(70);19;61;29;15;39;(12);21
1996 - 2000;30 - 39;13 und mehr Wohnungen;20;84;41;66;19;(30);12;25;29;18;29;3;104;(19);16
1996 - 2000;40 - 49;1 Wohnung;-;4;9;6;12;-;17;13;(15);12;22;35;13;9;10
1996 - 2000;40 - 49;2 Wohnungen;10;10;6;6;17;22;(47);33;25;(26);29;37;18;7;24
1996 - 2000;40 - 49;3 - 6 Wohnungen;20;28;89;41;54;63;118;(108);(79);(70);(66);49;88;39;(72)
1996 - 2000;40 - 49;7 - 12 Wohnungen;78;(193);162;99;59;129;54;166;132;(87);148;31;212;53;110
1996 - 2000;40 - 49;13 und mehr Wohnungen;(66);329;280;10;24;38;43;(111);137;80;192;113;155;(84);116
1996 - 2000;50 - 59;1 Wohnung;-;6;13;9;35;23;(160);(25);7;(12);63;(107);15;6;12
1996 - 2000;50 - 59;2 Wohnungen;(12);11;10;8;30;(36);(90);60;54;27;67;(48);37;28;(64)
1996 - 2000;50 - 59;3 - 6 Wohnungen;38;87;(107);47;(72);(87);188;178;167;(180);189;(123);(178);(51);(92)
1996 - 2000;50 - 59;7 - 12 Wohnungen;109;338;371;115;53;335;(118);(252);300;(115);217;(66);305;(103);(187)
1996 - 2000;50 - 59;13 und mehr Wohnungen;(133);402;475;49;79;47;61;117;192;142;282;167;312;(107);161
1996 - 2000;60 - 69;1 Wohnung;7;21;12;-;(53);33;142;(87);(20);(25);76;(134);55;20;(29)
1996 - 2000;60 - 69;2 Wohnungen;3;6;(39);10;50;(49);134;89;(76);(70);(114);100;71;51;80
1996 - 2000;60 - 69;3 - 6 Wohnungen;(27);78;123;(63);180;(193);211;271;288;(181);256;167;239;90;(158)
1996 - 2000;60 - 69;7 - 12 Wohnungen;(80);277;301;104;71;351;65;350;385;(175);(211);79;350;58;(268)
1996 - 2000;60 - 69;13 und mehr Wohnungen;(63);(254);(218);44;18;45;78;109;169;53;138;31;224;103;(90)
1996 - 2000;70 - 79;1 Wohnung;3;(32);38;12;73;70;(145);113;41;(44);82;(113);45;32;58
1996 - 2000;70 - 79;2 Wohnungen;10;20;25;(9);77;61;146;(112);97;(39);139;(77);(120);(79);(53)
1996 - 2000;70 - 79;3 - 6 Wohnungen;66;52;(122);(66);161;311;226;211;(288);(160);(270);169;(250);107;167
1996 - 2000;70 - 79;7 - 12 Wohnungen;(74);306;522;216;62;(338);(93);218;488;(116);(187);107;496;49;350
1996 - 2000;70 - 79;13 und mehr Wohnungen;32;(225);231;13;12;20;(18);(61);(198);(54);125;8;141;20;(121)
1996 - 2000;80 - 89;1 Wohnung;13;27;(78);(14);(118);(117);190;193;(123);(86);224;(190);(119);52;(78)
1996 - 2000;80 - 89;2 Wohnungen;10;(10);30;(7);(84);(105);121;95;(71);86;168;(120);148;76;(71)
1996 - 2000;80 - 89;3 - 6 Wohnungen;16;33;77;(53);(81);(113);(148);148;(268);100;215;(103);205;86;128
1996 - 2000;80 - 89;7 - 12 Wohnungen;37;123;135;(36);27;(217);36;127;223;69;(128);67;216;(35);(219)
1996 - 2000;80 - 89;13 und mehr Wohnungen;9;(114);(127);23;-;24;22;43;210;9;45;15;51;48;21
1996 - 2000;90 - 99;1 Wohnung;61;62;155;108;215;400;288;387;392;(254);402;(266);393;160;275
1996 - 2000;90 - 99;2 Wohnungen;12;6;(18);9;72;80;110;(80);103;67;123;(79);(113);(63);118
1996 - 2000;90 - 99;3 - 6 Wohnungen;9;(37);(24);(42);44;(101);(59);(46);166;63;(140);(63);(96);48;105
1996 - 2000;90 - 99;7 - 12 Wohnungen;(15);(57);(24);12;15;(111);7;81;111;34;52;(10);100;12;123
1996 - 2000;90 - 99;13 und mehr Wohnungen;22;(41);(58);-;-;-;26;17;69;-;(18);6;41;9;17
1996 - 2000;100 - 109;1 Wohnung;117;(117);224;176;406;654;481;620;886;463;824;643;976;340;677
1996 - 2000;100 - 109;2 Wohnungen;10;19;9;15;(64);(98);130;97;(118);72;184;(107);(115);50;88
1996 - 2000;100 - 109;3 - 6 Wohnungen;-;19;(29);9;(35);(55);38;71;(143);(38);123;(58);(100);25;(57)
1996 - 2000;100 - 109;7 - 12 Wohnungen;9;(34);8;12;(12);(21);-;(30);62;(9);30;12;69;6;(51)
1996 - 2000;100 - 109;13 und mehr Wohnungen;7;13;16;-;-;3;6;12;15;-;25;-;34;-;(6)
1996 - 2000;110 - 119;1 Wohnung;130;116;225;(192);394;527;413;514;719;494;827;613;849;386;645
1996 - 2000;110 - 119;2 Wohnungen;-;10;(13);3;36;44;59;(31);62;(32);(100);(105);(59);37;(68)
1996 - 2000;110 - 119;3 - 6 Wohnungen;3;19;(16);3;12;22;(21);33;(50);25;(41);22;(23);9;28
1996 - 2000;110 - 119;7 - 12 Wohnungen;3;3;12;3;-;(28);3;(12);16;10;12;6;(36);3;18
1996 - 2000;110 - 119;13 und mehr Wohnungen;6;9;-;-;-;9;-;31;(33);-;3;-;(30);-;-
1996 - 2000;120 - 129;1 Wohnung;262;165;297;137;523;852;656;744;925;627;1439;1023;1162;523;895
1996 - 2000;120 - 129;2 Wohnungen;3;16;12;4;(50);(75);84;85;79;60;123;91;99;(49);(77)
1996 - 2000;120 - 129;3 - 6 Wohnungen;6;3;12;12;19;68;40;28;(23);34;38;19;(19);6;22
1996 - 2000;120 - 129;7 - 12 Wohnungen;4;3;9;-;3;10;3;18;25;3;26;-;25;9;20
1996 - 2000;120 - 129;13 und mehr Wohnungen;-;6;6;-;-;6;3;9;-;3;(23);-;-;3;-
1996 - 2000;130 - 139;1 Wohnung;(164);(92);(95);60;357;407;444;379;549;298;745;610;599;337;412
1996 - 2000;130 - 139;2 Wohnungen;-;6;(15);4;17;(16);25;(32);28;21;(56);(60);(18);21;28
1996 - 2000;130 - 139;3 - 6 Wohnungen;12;9;-;4;7;12;9;24;3;18;19;6;24;-;16
1996 - 2000;130 - 139;7 - 12 Wohnungen;-;-;-;-;-;6;-;-;3;4;6;-;(9);6;13
1996 - 2000;130 - 139;13 und mehr Wohnungen;3;-;-;-;-;-;-;-;-;3;15;-;-;-;-
1996 - 2000;140 - 149;1 Wohnung;(100);(53);86;(52);289;340;485;307;456;(245);622;594;459;282;374
1996 - 2000;140 - 149;2 Wohnungen;-;-;9;4;6;17;28;22;(42);(30);58;(38);(57);19;(17)
1996 - 2000;140 - 149;3 - 6 Wohnungen;6;3;3;3;7;10;23;-;13;14;19;15;(21);-;13
1996 - 2000;140 - 149;7 - 12 Wohnungen;-;7;-;-;-;3;-;3;10;-;-;3;10;3;4
1996 - 2000;140 - 149;13 und mehr Wohnungen;9;-;-;-;-;-;-;-;-;-;-;3;7;-;-
1996 - 2000;150 - 159;1 Wohnung;42;(22);(60);20;233;224;298;(179);247;(157);465;373;319;169;183
1996 - 2000;150 - 159;2 Wohnungen;6;7;-;-;10;17;(12);38;13;19;25;39;16;(15);(14)
1996 - 2000;150 - 159;3 - 6 Wohnungen;-;3;-;3;10;9;12;15;-;9;9;-;3;6;9
1996 - 2000;150 - 159;7 - 12 Wohnungen;-;3;-;6;-;-;-;9;3;3;-;-;15;3;4
1996 - 2000;150 - 159;13 und mehr Wohnungen;-;-;3;-;-;3;-;10;-;-;-;6;-;-;-
1996 - 2000;160 - 169;1 Wohnung;(27);27;34;29;204;141;255;184;(169);132;341;251;229;(126);203
1996 - 2000;160 - 169;2 Wohnungen;-;-;3;-;3;12;14;(3);19;(30);28;21;21;-;15
1996 - 2000;160 - 169;3 - 6 Wohnungen;-;4;4;-;6;10;(15);-;6;3;3;6;6;3;(18)
1996 - 2000;160 - 169;7 - 12 Wohnungen;-;-;-;-;-;3;-;-;6;-;-;-;-;-;3
1996 - 2000;160 - 169;13 und mehr Wohnungen;-;-;3;-;-;-;-;3;-;-;11;-;3;-;3
1996 - 2000;170 - 179;1 Wohnung;31;14;(19);11;(90);95;155;(94);97;(68);197;(134);(129);61;(69)
1996 - 2000;170 - 179;2 Wohnungen;-;-;-;3;(24);-;13;9;3;6;19;15;12;3;13
1996 - 2000;170 - 179;3 - 6 Wohnungen;-;3;3;-;3;-;4;3;6;3;6;3;7;6;-
1996 - 2000;170 - 179;7 - 12 Wohnungen;-;-;-;-;-;-;-;-;3;-;3;-;3;3;-
1996 - 2000;170 - 179;13 und mehr Wohnungen;-;-;3;-;-;-;-;3;-;-;9;-;-;-;-
1996 - 2000;180 und mehr;1 Wohnung;69;47;(50);(55);407;313;370;339;321;237;696;534;456;253;337
1996 - 2000;180 und mehr;2 Wohnungen;3;-;9;-;23;44;(56);47;43;40;47;(35);(46);16;37
1996 - 2000;180 und mehr;3 - 6 Wohnungen;6;-;-;9;3;12;15;16;18;10;18;12;24;-;21
1996 - 2000;180 und mehr;7 - 12 Wohnungen;3;4;3;-;-;12;3;15;3;-;3;-;3;4;3
1996 - 2000;180 und mehr;13 und mehr Wohnungen;-;3;3;-;-;-;-;12;-;-;25;-;9;3;18
2001 - 2004;Unter 30;1 Wohnung;-;3;3;-;-;-;3;-;-;3;-;3;4;-;3
2001 - 2004;Unter 30;2 Wohnungen;-;-;3;-;-;6;3;3;3;-;-;3;3;4;-
2001 - 2004;Unter 30;3 - 6 Wohnungen;-;-;-;-;-;-;7;-;9;-;-;-;-;-;3
2001 - 2004;Unter 30;7 - 12 Wohnungen;-;3;-;-;-;-;6;-;-;-;-;12;-;-;3
2001 - 2004;Unter 30;13 und mehr Wohnungen;69;25;-;-;-;-;-;-;-;3;-;-;4;-;17
2001 - 2004;30 - 39;1 Wohnung;-;3;12;-;3;3;3;3;-;3;3;3;-;-;-
2001 - 2004;30 - 39;2 Wohnungen;-;-;3;3;3;3;9;-;4;6;12;-;3;-;3
2001 - 2004;30 - 39;3 - 6 Wohnungen;3;3;10;3;3;3;12;(18);7;3;-;3;6;6;6
2001 - 2004;30 - 39;7 - 12 Wohnungen;-;6;-;-;3;7;16;(9);9;-;3;3;-;-;9
2001 - 2004;30 - 39;13 und mehr Wohnungen;-;3;15;-;-;9;-;31;-;12;-;-;-;-;6
2001 - 2004;40 - 49;1 Wohnung;-;3;8;-;6;6;12;-;6;-;-;8;12;-;3
2001 - 2004;40 - 49;2 Wohnungen;-;-;12;4;-;13;31;7;3;12;18;(15);13;3;10
2001 - 2004;40 - 49;3 - 6 Wohnungen;12;-;(31);-;7;12;(46);(19);26;36;6;7;13;-;(12)
2001 - 2004;40 - 49;7 - 12 Wohnungen;9;(39);226;6;26;27;30;44;(23);9;21;9;16;4;6
2001 - 2004;40 - 49;13 und mehr Wohnungen;41;(85);13;-;27;13;9;27;-;21;19;4;13;-;43
2001 - 2004;50 - 59;1 Wohnung;3;3;3;14;4;6;48;16;12;13;(12);30;18;6;3
2001 - 2004;50 - 59;2 Wohnungen;3;3;(19);-;(16);19;(15);29;(13);(18);22;15;(32);6;(13)
2001 - 2004;50 - 59;3 - 6 Wohnungen;(40);(4);107;4;(22);23;44;55;35;56;54;10;22;14;19
2001 - 2004;50 - 59;7 - 12 Wohnungen;(9);(48);194;(35);12;41;39;(54);(100);(22);(15);7;41;6;(69)
2001 - 2004;50 - 59;13 und mehr Wohnungen;13;52;3;14;4;(142);6;49;38;65;20;3;43;4;30
2001 - 2004;60 - 69;1 Wohnung;6;6;3;-;6;(38);56;39;15;10;15;49;18;9;(22)
2001 - 2004;60 - 69;2 Wohnungen;-;3;33;11;21;(23);(52);53;(28);21;(24);33;34;13;25
2001 - 2004;60 - 69;3 - 6 Wohnungen;36;14;(161);10;31;41;64;62;(34);(22);(78);9;(43);18;49
2001 - 2004;60 - 69;7 - 12 Wohnungen;(21);(56);246;3;12;100;37;(80);90;31;34;27;(67);9;(68)
2001 - 2004;60 - 69;13 und mehr Wohnungen;34;49;10;20;13;66;56;(40);27;(61);68;3;27;3;36
2001 - 2004;70 - 79;1 Wohnung;3;23;31;14;30;(38);43;(44);43;(42);(25);53;26;13;13
2001 - 2004;70 - 79;2 Wohnungen;3;9;3;9;22;28;60;28;47;19;38;(51);41;6;16
2001 - 2004;70 - 79;3 - 6 Wohnungen;(22);(4);24;18;21;(63);(77);42;(96);(54);46;29;(97);6;39
2001 - 2004;70 - 79;7 - 12 Wohnungen;(24);69;310;84;3;129;(3);63;(93);18;19;18;(68);10;(62)
2001 - 2004;70 - 79;13 und mehr Wohnungen;41;46;28;8;-;41;6;30;(35);21;15;9;3;4;24
2001 - 2004;80 - 89;1 Wohnung;9;13;42;12;(76);88;93;64;(62);57;94;102;(42);(34);36
2001 - 2004;80 - 89;2 Wohnungen;3;15;6;(14);39;37;72;(21);50;38;68;50;60;12;(57)
2001 - 2004;80 - 89;3 - 6 Wohnungen;22;13;17;3;(4);84;40;57;125;(54);33;16;(91);(6);41
2001 - 2004;80 - 89;7 - 12 Wohnungen;24;(43);(78);7;9;108;21;29;(92);35;18;-;(36);-;(48)
2001 - 2004;80 - 89;13 und mehr Wohnungen;-;21;38;6;-;13;-;23;32;3;9;-;7;6;47
